Id,BBPB,BBW,CBSP,CLSP,CUSP,IIN,TC,V,PCP,CP
336,0.4176,0.0091,7,0,93,5,46,40,-0.06,12846700
337,0.3912,0.0072,56,26,18,5,75,87,0.03,12850000
338,0.2385,0.0053,100,0,0,5,86,29,-0.04,12845200
339,0.2551,0.0054,81,0,19,5,87,115,0,12845100
340,0.2723,0.0049,1,0,99,5,55,32,0,12845200
341,0.2941,0.0049,0,0,100,5,46,15,0,12845200
342,0.2496,0.005,42,58,0,5,37,96,-0.03,12841200
343,0.0085,0.0046,42,25,33,5,65,49,-0.13,12824700
344,0.0351,0.005,14,85,1,5,39,15,-0.02,12821600
345,-0.0058,0.0054,1,74,25,5,53,22,-0.06,12813400
346,0.0847,0.0053,36,44,20,5,89,50,0.03,12817300
347,-0.2282,0.0058,100,0,0,5,68,17,-0.24,12786400
348,0.087,0.0062,59,0,41,5,33,9,0.15,12805300
349,-0.0039,0.0069,42,2,56,5,64,25,-0.12,12790400
350,0.0851,0.0074,4,19,77,5,163,60,0.02,12792900
351,0.4423,0.0071,66,4,30,5,90,14,0.25,12825200
352,0.3821,0.0066,26,0,73,5,80,25,-0.06,12818000
353,0.3911,0.0065,100,0,0,5,38,29,0,12817500
354,0.3274,0.0064,53,13,34,5,50,23,-0.05,12810600
355,0.5213,0.0061,56,38,6,5,76,47,0.11,12825000
356,0.4048,0.0059,37,58,6,5,80,15,-0.08,12814600
357,0.372,0.0055,18,0,82,5,68,76,-0.03,12810700
358,0.4033,0.0052,2,48,50,5,85,41,0.01,12811600
359,0.423,0.0049,94,0,6,5,94,53,0,12811600
360,0.5817,0.0044,24,1,76,5,86,71,0.06,12819800
361,0.6628,0.0039,8,0,92,5,48,13,0.02,12822200
362,0.6638,0.0035,10,11,80,5,113,40,-0.02,12820200
363,-0.3344,0.0052,88,8,4,5,194,191,-0.52,12753700
364,0.3617,0.0052,30,52,18,5,95,38,0.36,12799100
365,1.0168,0.0059,91,9,0,5,126,82,0.39,12848900
366,0.4712,0.0058,81,4,15,5,68,22,-0.32,12807400
367,0.5637,0.0056,29,71,0,5,62,41,0.06,12815600
368,0.5342,0.0056,65,0,35,5,44,24,-0.01,12813900
369,0.4814,0.0054,22,0,78,5,33,3,-0.02,12811200
370,0.5254,0.0052,10,2,89,5,78,66,0.03,12815300
371,0.609,0.0052,19,0,81,5,68,103,0.04,12820600
372,0.8468,0.0054,11,77,11,5,70,29,0.14,12838600
373,0.6347,0.0055,53,0,47,5,75,73,-0.11,12824200
374,0.8999,0.0059,85,3,12,5,53,53,0.18,12846700
375,0.4886,0.0059,31,0,69,5,106,56,-0.25,12815200
376,0.3775,0.0059,15,64,20,5,74,69,-0.07,12806400
377,0.5817,0.0059,95,0,5,5,63,110,0.12,12822400
378,0.2012,0.0061,83,14,3,5,58,25,-0.24,12791800
379,0.9048,0.0066,52,25,23,5,105,46,0.47,12851400
380,0.9586,0.0073,43,37,20,5,109,24,0.08,12862000
381,0.6667,0.0073,72,28,0,5,84,22,-0.2,12835700
382,0.3756,0.0074,72,0,28,5,80,64,-0.22,12807600
383,0.2914,0.0058,5,18,77,5,34,21,-0.01,12806500
384,0.1931,0.0058,22,48,30,5,51,11,-0.06,12799200
385,0.2272,0.0057,1,0,99,5,35,34,0,12799800
386,0.2168,0.0058,8,1,91,5,41,116,-0.01,12798100
