BBPW,BBW,IntervalInMinute,TC,V,PCP
0.6506,0.0068,5,45,67,0.01
0.4921,0.0067,5,34,18,-0.1
0.3399,0.0068,5,50,36,-0.11
0.3057,0.0059,5,32,20,0.01
0.0612,0.0042,5,69,25,-0.05
0.2282,0.004,5,57,16,0.08
0.3056,0.0041,5,73,31,0.03
0.3152,0.0039,5,55,35,0.01
0.0506,0.0042,5,49,41,-0.13
0.2139,0.0043,5,49,43,0.06
0.1038,0.0041,5,62,223,-0.06
0.5915,0.0039,5,34,56,0.19
0.0467,0.0043,5,40,50,-0.24
0.0092,0.0048,5,47,173,-0.05
0.0076,0.0052,5,84,83,-0.04
0.0706,0.0055,5,50,86,0
0.226,0.0055,5,38,98,0.07
0.2955,0.0052,5,65,16,0.03
0.2897,0.0049,5,80,115,-0.01
0.3095,0.0045,5,72,140,0
0.5426,0.0039,5,48,89,0.09
0.4267,0.0036,5,38,97,-0.05
0.6141,0.0036,5,86,24,0.07
0.9468,0.0039,5,72,38,0.14
0.7186,0.004,5,73,24,-0.08
0.9653,0.0043,5,52,127,0.12
0.928,0.0046,5,53,96,0
1.001,0.005,5,73,24,0.06
0.9343,0.0055,5,63,147,0
0.7021,0.0055,5,43,39,-0.12
0.6357,0.0056,5,55,15,-0.03
0.7947,0.0056,5,52,15,0.09
0.6191,0.0056,5,58,19,-0.09
0.6117,0.0054,5,56,11,0.01
0.7613,0.0051,5,51,18,0.09
0.5137,0.0046,5,28,6,-0.11
-0.2236,0.0057,5,267,85,-0.43
0.2398,0.0057,5,62,14,0.27
0.2424,0.0057,5,52,52,0
-0.1172,0.0067,5,50,17,-0.28
0.1521,0.007,5,30,6,0.16
0.1436,0.0074,5,50,43,-0.03
0.3928,0.0074,5,65,15,0.18
0.2812,0.0075,5,135,42,-0.1
0.1745,0.0078,5,65,10,-0.11
0.032,0.0085,5,176,55,-0.17
0.1104,0.0088,5,88,35,0.02
0.116,0.009,5,177,36,-0.03
0.1497,0.0089,5,63,16,0
0.3039,0.0087,5,45,13,0.12
0.3393,0.0085,5,41,8,0.01
0.6366,0.0079,5,66,17,0.23
0.2724,0.0076,5,115,43,-0.3
1.0803,0.0083,5,137,73,0.66
0.982,0.0083,5,67,59,-0.08
0.8042,0.0082,5,102,95,-0.15
0.8191,0.0085,5,151,56,0.04
0.9204,0.0091,5,43,39,0.13
0.9307,0.0099,5,61,36,0.06
0.5957,0.0097,5,83,20,-0.32
0.7626,0.01,5,40,9,0.19
0.7907,0.0103,5,61,13,0.06
0.6594,0.0104,5,77,18,-0.13
0.8253,0.0109,5,79,31,0.21
0.6604,0.0109,5,76,25,-0.16
0.5188,0.0103,5,154,23,-0.13
0.5042,0.0096,5,34,9,0.01
0.5237,0.0088,5,60,33,0.04
0.5318,0.0077,5,42,6,0.03
0.4727,0.0069,5,48,14,-0.02
0.0465,0.0066,5,71,32,-0.28
0.0801,0.007,5,82,48,0
-0.0507,0.0066,5,46,13,-0.06
0.1213,0.0067,5,156,43,0.08
-0.1039,0.0079,5,106,23,-0.25
0.4128,0.0079,5,117,66,0.4
0.3518,0.0079,5,123,196,-0.06
0.3144,0.0077,5,59,31,-0.05
0.6827,0.0073,5,95,67,0.27
0.5954,0.0074,5,67,43,-0.06
0.5812,0.0072,5,41,30,-0.02
0.3905,0.0069,5,41,9,-0.15
0.7463,0.0069,5,62,61,0.25
0.6803,0.0062,5,51,15,-0.07
0.3422,0.006,5,41,20,-0.22
0.4158,0.006,5,49,19,0.04
0.2824,0.0061,5,72,48,-0.09
0.3014,0.0061,5,89,26,0
0.136,0.0062,5,58,22,-0.13
0.0364,0.0066,5,29,17,-0.11
0.2042,0.0068,5,43,38,0.1
0.2546,0.0069,5,43,38,0.02
0.2467,0.007,5,29,51,-0.01
0.092,0.0076,5,109,81,-0.15
0.2114,0.0074,5,31,42,0.1
0.2215,0.0076,5,52,9,-0.01
0.163,0.0079,5,22,7,-0.07
0.126,0.0084,5,48,91,-0.07
0.3141,0.008,5,45,11,0.14
0.2336,0.0077,5,114,62,-0.08
0.0759,0.0077,5,32,15,-0.16
0.1226,0.008,5,35,43,0
0.3121,0.0068,5,121,88,0.14
0.3436,0.0056,5,48,13,0.01
0.2837,0.0053,5,35,6,-0.04
0.1934,0.0047,5,40,13,-0.05
-0.2458,0.0058,5,148,29,-0.32
-0.4484,0.0108,5,623,171,-0.66
-0.082,0.0126,5,273,131,0.24
-0.0435,0.0144,5,78,18,-0.1
0.0185,0.0158,5,115,158,-0.03
0.1007,0.0166,5,71,43,0.04
0.1071,0.0174,5,53,56,-0.08
0.0943,0.0185,5,59,17,-0.12
0.1131,0.0192,5,55,26,-0.06
0.2222,0.0192,5,69,26,0.15
0.2348,0.0192,5,38,16,-0.03
0.2124,0.0194,5,49,33,-0.1
0.306,0.0186,5,47,37,0.14
0.4047,0.0177,5,43,17,0.15
0.3917,0.017,5,25,8,-0.05
0.3062,0.0164,5,49,8,-0.18
0.3314,0.0149,5,53,28,0.01
0.2414,0.0131,5,133,31,-0.15
0.3938,0.0104,5,51,22,0.18
0.5985,0.0068,5,171,89,0.14
0.2377,0.0043,5,69,76,-0.22
0.6248,0.0043,5,64,33,0.17
1.0516,0.0046,5,81,99,0.2
0.8997,0.0048,5,109,74,-0.05
0.6857,0.0049,5,57,97,-0.1
0.8432,0.005,5,58,106,0.09
0.7247,0.0051,5,25,9,-0.05
0.8058,0.0052,5,25,11,0.06
0.8389,0.0052,5,61,112,0.04
0.6556,0.0052,5,56,75,-0.09
0.624,0.0052,5,36,64,-0.01
0.6667,0.0049,5,93,52,0.03
0.4488,0.0049,5,42,35,-0.11
0.7945,0.005,5,18,18,0.18
